Home_Team,Away_Team,Time,Link,Results,Season,Round,League
Moreirense,Gil Vicente,21:15,https://www.besoccer.com/match/moreirense-fc/gil-vicente/202235202,,2022,12,primeira_liga
Famalicão,Portimonense,16:30,https://www.besoccer.com/match/famalicao/portimonense/202235205,,2022,12,primeira_liga
Arouca,Boavista,19:00,https://www.besoccer.com/match/arouca/boavista/202235213,,2022,12,primeira_liga
Belenenses SAD,Benfica,21:30,https://www.besoccer.com/match/cf-os-belenenses-ii/benfica/202235208,,2022,12,primeira_liga
Marítimo,Paços de Ferreira,16:30,https://www.besoccer.com/match/maritimo/pacos-ferreira/202235209,,2022,12,primeira_liga
Sporting CP,Tondela,19:00,https://www.besoccer.com/match/sporting-lisbon/tondela/202235196,,2022,12,primeira_liga
Porto,Vitória Guimarães,21:30,https://www.besoccer.com/match/fc-porto/vitoria-guimaraes/202235198,,2022,12,primeira_liga
Estoril,CD Santa Clara,21:15,https://www.besoccer.com/match/estoril/santa-clara/202235211,,2022,12,primeira_liga
Sporting Braga,Vizela,21:15,https://www.besoccer.com/match/sporting-braga/vizela/202235199,,2022,12,primeira_liga
